subject_id,condition,videos_started,videos_stopped,vigilance_time_sec,vigilance_time_min,flagged_inattentive
sub16,NB,1481.782859400002,1520.9493647000054,39.16650530000334,0.6527750883333889,False
sub170,NB,1480.0917261999855,1536.7608512000006,56.66912500001513,0.9444854166669188,False
sub171,NB,1513.7187696000035,1570.3864696999954,56.66770009999186,0.9444616683331977,False
sub172,NB,1511.6989455000148,1546.2003614999994,34.5014159999846,0.5750235999997434,False
sub173,NB,1510.4068091999798,1558.907145699981,48.50033650000114,0.8083389416666856,False
sub174,NB,1518.067510199995,1562.93782859997,44.870318399975076,0.7478386399995846,False
sub175,NB,1541.5592830999522,1561.926942799997,20.367659700044896,0.3394609950007483,False
sub176,NB,1536.6670149999554,1571.1688808999606,34.501865900005214,0.5750310983334203,False
sub177,NB,1535.3144627999864,1536.989637599967,1.6751747999805957,0.027919579999676595,False
sub178,NB,1533.0964664000203,1570.3338760000188,37.2374095999985,0.6206234933333084,False
sub179,NB,1587.018069999991,1590.2268449999974,3.208775000006426,0.05347958333344043,False
sub17,NB,1485.7993458999845,1522.9665532000072,37.16720730002271,0.6194534550003785,False
sub180,NB,1528.067642399983,1559.703171900008,31.635529500025086,0.5272588250004181,False
sub181,NB,1557.2720727999697,1560.875574900012,3.6035021000423058,0.06005836833403843,False
sub182,NB,1535.475149899954,1569.9767919000003,34.50164200004633,0.5750273666674388,False
sub183,NB,1537.1421427000314,1557.4453446000116,20.303201899980195,0.3383866983330032,False
sub184,NB,1514.907117200084,1534.0105792999966,19.103462099912576,0.31839103499854293,False
sub185,NB,1565.3932594999203,1602.626339899958,37.23308040003781,0.6205513400006301,False
sub18,NB,1513.02947400001,1538.1949364000177,25.165462400007755,0.41942437333346255,False
sub19,NB,1500.7950482,1536.9291285999998,36.134080399999675,0.6022346733333279,False
sub21,NB,1550.1082757999998,1606.2745224,56.16624660000025,0.9361041100000042,False
sub22,NB,1512.979816,1527.1564861000006,14.176670100000592,0.23627783500000987,False
sub23,AB,1512.8559081000003,1535.9560913999994,23.100183299999117,0.3850030549999853,False
sub24,NB,1496.5724565,1524.7402659999989,28.16780949999884,0.4694634916666473,False
sub25,AB,1518.1297669000014,1543.065881999999,24.93611509999755,0.4156019183332925,False
sub26,AB,1521.1132155999985,1550.3483942999992,29.235178700000688,0.4872529783333448,False
sub27,AB,1474.4228171000032,1531.757367000002,57.33454989999882,0.955575831666647,False
sub28,AB,1486.6239975999997,1528.5608579,41.93686030000026,0.698947671666671,False
sub29,AB,1487.3225620999983,1537.6583103000012,50.335748200002854,0.8389291366667142,False
sub30,AB,1531.5356577999992,1560.9085922000013,29.372934400002123,0.48954890666670203,False
sub31,AB,1556.601180499987,1607.002837699998,50.40165720001096,0.8400276200001826,False
sub32,AB,1620.6221521999978,1657.4918272000068,36.86967500000901,0.6144945833334835,False
