subject_id,condition,mean_accuracy,mean_rt,median_rt,mean_conf,n_trials,REC,LDI_BB,LDI_EM
sub33,AB,0.825,6.304348355000911,5.374403799993161,4.45,40,0.6499999999999999,0.7,0.6000000000000001
sub34,AB,0.85,4.655941097500909,4.527502000004461,3.575,40,0.7,0.8,0.6000000000000001
sub35,AB,0.9,4.313216292497964,3.4101762499994948,4.775,40,0.8,0.8,0.8
sub36,AB,0.9,4.956652182502149,4.231983899997431,4.5,40,0.8,0.8,0.8
sub37,AB,0.825,6.330644242499693,4.745086400005675,3.4,40,0.6499999999999999,0.8,0.5
sub38,AB,0.825,5.87346181249959,4.94951454999682,4.75,40,0.6499999999999999,0.6000000000000001,0.7
sub39,AB,0.9,7.033939744999588,5.95375464999961,3.675,40,0.8,0.7,0.8999999999999999
sub40,AB,0.775,6.478003600000375,5.788125999999465,4.725,40,0.55,0.6000000000000001,0.5
sub41,AB,0.85,9.934166607499355,8.728675049998856,3.65,40,0.7,0.6000000000000001,0.8
sub43,NB,0.925,5.310274947501602,5.185737899999367,4.275,40,0.8500000000000001,1.0,0.7
sub44,NB,0.9,5.261331962500845,4.361227899993537,4.4,40,0.8,0.8,0.8
sub45,NB,1.0,4.766933889997745,4.42029165000713,4.625,40,1.0,1.0,1.0
sub46,NB,0.975,6.539318437497423,4.557124550003209,4.575,40,0.95,0.8999999999999999,1.0
sub47,NB,0.825,6.052195159995608,5.230287250000401,4.375,40,0.6499999999999999,0.6000000000000001,0.7
sub48,NB,0.875,4.010417092499847,3.6953200499992818,3.975,40,0.75,0.7,0.8
